headlines,terms,dates
ahmaud arbery's mother says trump was 'very compassionate' during white house meeting,trump,2020-06-17
"solicitor general noel francisco, who has argued many trump positions before supreme court, leaving doj",trump,2020-06-17
mcconnell to lead trump campaign fundraising program encouraging gop senate volunteers,trump,2020-06-17
"trump responds to bolton allegations, shares update on coronavirus vaccine on 'hannity'",trump,2020-06-18
bolton says putin 'thinks' he can play trump 'like a fiddle' in new claims ahead of book release,trump,2020-06-18
trump rips high court for ruling protecting dreamers,trump,2020-06-18
longtime top aide says trump risked security for personal gain,trump,2020-06-18
supreme court rejects trump bid to end daca protections,trump,2020-06-18
bob woodward publishing 2nd book on trump before election,trump,2020-06-18
"trump team sues, trashes bolton as his book calls impeachment too narrow",trump,2020-06-18
supreme court rules against trump administration bid to end daca program,trump,2020-06-18
trump could see colin kaepernick back in the nfl 'if he has the ability',trump,2020-06-18
trump jabs roger goodell over statement in support of player protests: 'nobody was even asking for it',trump,2020-06-18
"bruce springsteen jabs donald trump for handling of the coronavirus, not wearing a face mask",trump,2020-06-18
read: supreme court opinion on trump effort to end daca,trump,2020-06-18
trump tells 'hannity' coronavirus is 'fading away' ahead of controversial tulsa rally,trump,2020-06-18
"trump dismisses 'fake' polls that show biden leading: 'in my polls, we're ahead'",trump,2020-06-18
biden has single-digit lead over trump in battleground new hampshire: poll,trump,2020-06-18
"bolton: trump not 'fit' to be president, lacks 'competency to carry out the job'",trump,2020-06-18
"trump attacks bolton, supreme court and media",trump,2020-06-19
trump 2020 communications director says campaign must 'define' biden 'and his record of failure',trump,2020-06-19
trump wants 4 debates and to help pick the moderators,trump,2020-06-19
trump looks for his way back machine in tulsa,trump,2020-06-19
cal thomas: trump's tulsa rally -- this is the speech the president needs to give,trump,2020-06-19
"trump signals he has ‘interesting’ details on roswell, as son grills him about aliens",trump,2020-06-19
trump predicts nfl will have 'a lot of problems' if it allows kneeling,trump,2020-06-19
twitter slaps trump with 'manipulated media' label over satirical video mocking cnn,trump,2020-06-19
trump dismisses fauci's assessment of upcoming nfl season amid pandemic,trump,2020-06-19
twitter disables satirical video posted by trump to mock cnn,trump,2020-06-19
trump says surge in voting by mail his ‘biggest risk’,trump,2020-06-19
"trump touts nearly $1b in us infrastructure plans, proposals",trump,2020-06-19
charles hurt bashes bolton over claim trump unfit for office: 'john bolton has never been elected to anything',trump,2020-06-19
"oklahoma judge allows trump rally to proceed as planned, as president says tulsa curfew being lifted",trump,2020-06-19
"al sharpton to speak at juneteenth event in tulsa, ahead of trump rally",trump,2020-06-19
"trump rally coincides with massive voter outreach push, as campaign season restarts",trump,2020-06-19
trump hits campaign trail with 'america first' message amid coronavirus pandemic,trump,2020-06-20
doug schoen: biden outpolls trump among key group trump carried in 2016 – president’s mismanagement big issue,trump,2020-06-20
sen. tom cotton slams justice roberts on daca decision for applying 'different standards' to obama and trump,trump,2020-06-20
six members of trump advance team in tulsa test positive for coronavirus,trump,2020-06-20
trump returns to 2020 campaign trail with tulsa rally,trump,2020-06-20
trump expected to sign executive order expanding immigration restrictions,trump,2020-06-20
"trump and rnc trail biden in may fundraising, but maintain cash advantage heading into summer",trump,2020-06-20
judge jeanine pirro says trump's daca loss at supreme court proves 'we got a problem in washington',trump,2020-06-20
ag barr: trump has fired sdny federal prosecutor who refused to leave,trump,2020-06-20
jessica tarlov slams trump campaign over 'reckless' tulsa rally: 'this is not the time to do it',trump,2020-06-20
"graham says he won't advance trump nominee for sdny prosecutor without schumer, gillibrand consent",trump,2020-06-20
"trump ex-lawyer overheard roger stone phone call about wikileaks, docs reveal: report",trump,2020-06-20
"trump prepares for first campaign rally in months in tulsa amid concerns about coronavirus, violence",trump,2020-06-20
national anthem at trump rally to be sung by widow of slain oklahoma labor commissioner,trump,2020-06-20
charlie hurt: trump-fauci difference over nfl outlook proves president can work through disagreements,trump,2020-06-20
eric trump on the president's tulsa rally: 'you need the spirit back in the country',trump,2020-06-21
'gutfeld' guests say trump was 'comedic genius' at tulsa rally while pence lacked 'razzmatazz',trump,2020-06-21
trump blasts attempts to remove historic statues as 'censorship',trump,2020-06-21
